,Name,Price,Old_Price,Discount
151,Lenovo Xiaoxin K11 Pad 11inch 6GM RAM+ 128GB ROM WIFI Edition 7700Mah Tablet PC,"₦ 139,998","₦ 207,824",33%
152,WATERPROOF CHILDREN SCHOOL BAG BACKPACK,"₦ 8,000","₦ 15,000",47%
153,Mens Oxford Casual Messenger Bag Shoulder Bags,"₦ 6,700","₦ 9,000",26%
154,"Smart Business Anti Theft Bag OfficeLite With USB Charging Port, Security Backpack & Laptop Bag","₦ 5,690","₦ 7,890",28%
155,TedGear Anti Theft Security Travel Backpack & Laptop Bag With USB Charging Port -Bobby Solo - Black,"₦ 5,890","₦ 8,990",34%
156,Intelligent Temperature Display Insulation Vacuum Cup 500ml,"₦ 4,500","₦ 7,000",36%
157,Girls Ballet Flat Shoes,"₦ 5,500","₦ 7,000",21%
158,Universal Stainless Steel Food Flasks 5 In 1 Set,"₦ 12,000","₦ 7,000",21%
159,UNISEX DIGITAL LED SCREEN ELECTRONIC FASHION WRISTWATCH,"₦ 1,845","₦ 4,000",54%
160,Children Unisex White Back To School Canvass,"₦ 3,900","₦ 5,000",22%
161,Casual Board Shoes Running Sneakers-Pink,"₦ 4,399","₦ 5,000",22%
162,Kids Shoes Children's Shoes For Boys And Girls Casual Sports Breathable Running Shoes,"₦ 4,680","₦ 7,890",41%
163,Ladies Flat Work Shoe,"₦ 7,000","₦ 15,000",53%
164,New 220V Electric Lunch Box Rice Cooker Soup Cooking,"₦ 13,600","₦ 15,000",53%
165,Kids Breathable Socks Casual Shoe Sneakers.,"₦ 5,500","₦ 15,000",53%
166,Mini Snack Bag - Red,"₦ 4,000","₦ 5,200",23%
167,Home Touch Stainless Steel Food Flask Set - 5 In 1 Set,"₦ 9,200","₦ 10,000",8%
168,All Black Covered Slip-on Pam Slippers- With Centre Openings,"₦ 6,000","₦ 7,000",14%
169,Rising Star Quality Boy's Back To School Shoe - Black,"₦ 5,999","₦ 10,500 - ₦ 25,000",76%
170,Smart Business Large Capacity Waterproof Laptop Backpack,"₦ 17,999","₦ 10,500 - ₦ 25,000",76%
171,Unique Female Flat Shoe-Black,"₦ 5,000 - ₦ 5,500","₦ 7,500",33%
